Accession code,Activity
SNR28278.1,0
WP_023590072.1,0
WP_026455675.1,0
WP_145865593.1,0
SBO93698.1,0
WP_096345769.1,0
WP_132399348.1,0
WP_088642378.1,0
ROO62349.1,0
WP_043791386.1,0
OPG07929.1,0
WP_143737622.1,0
WP_119435032.1,0
WP_043674879.1,0
MBT71308.1,0
PCI81402.1,0
MBQ14354.1,0
WP_086515000.1,0
MBA55398.1,0
WP_141208867.1,0
WP_075846387.1,0
RLT92980.1,0
WP_132675922.1,0
WP_104293293.1,0
WP_091449211.1,0
WP_110080441.1,0
WP_045526465.1,0
WP_107415252.1,0
SFL45954.1,0
WP_037799604.1,0
WP_150226575.1,0
WP_090758760.1,0
SDJ28682.1,0
WP_094114762.1,0
AWF98035.1,0
RCL73670.1,0
AJP05992.1,0
WP_019629726.1,0
WP_084693247.1,0
WP_104343804.1,0
WP_030532193.1,0
WP_035286617.1,0
MTK05241.1,0
WP_051167764.1,0
AGL16332.1,0
REH26413.1,0
WP_086562416.1,0
PKZ41773.1,0
WP_144043041.1,0
TDQ51552.1,0
WP_133742058.1,0
KHD76999.1,0
WP_052163682.1,0
KOX11336.1,0
WP_053619136.1,0
WP_156365999.1,0
WP_114594379.1,0
AXV09545.1,0
ALS57601.1,0
WP_081656754.1,0
WP_133877137.1,0
TDO41999.1,0
WP_070705826.1,0
PKZ41776.1,0
WP_132200424.1,0.084586564
WP_020639922.1,0.166033979
WP_108710096.1,0.409533226
ALD14029.1,0.651636572
WP_085753242.1,0.874804527
WP_132628273.1,0.881764001
KJK32958.1,0.930029209
WP_107115530.1,0.998490919
RZI82703.1,1.000494354
WP_052685689.1,1.244758916
OUE26840.1,1.282380184
WP_122982115.1,1.45938492
WP_143713288.1,1.967408305
KWV30420.1,2.072913317
WP_130477875.1,2.197620567
SCF11721.1,2.50368077
GAP50618.1,2.521959723
WP_091310325.1,2.765378139
WP_136529585.1,2.905612178
WP_053744292.1,4.177038807
KOV66859.1,4.177038807
SCF49212.1,4.551163925
WP_083303042.1,4.551163925
WP_083947829.1,4.806502014
WP_129849678.1,5.700733725
WP_103564314.1,6.976885995
WP_067035690.1,7.03098698
WP_091450391.1,8.807538104
WP_068752972.1,9.636493266
WP_145923095.1,9.969521457
BAK48590.1,10.7806406
WP_090538641.1,13.93263861
WP_092528534.1,14.3278576
WP_086668955.1,15.26724012
WP_110080872.1,15.50812723
PWW60275.1,15.50812723
WP_120326365.1,16.69126147
WP_107465080.1,19.1471129
SPF04022.1,19.1471129
WP_104115406.1,20.14344202
WP_104613137.1,22.42400435
WP_084578793.1,22.99415976
WP_111700265.1,24.35053166
WP_051808300.1,24.59394817
CBY05529.1,25.69180036
OPG10926.1,28.69660378
WP_143737449.1,28.69660378
WP_015787089.1,30.50730885
WP_124770494.1,31.4523704
WP_141569747.1,34.00761929
RZS34008.1,36.28598979
ADV92527.1,44.14611355
WP_132183354.1,45.59365444
WP_084400763.1,46.28707736
WP_123685830.1,52.97426767
TQL66274.1,59.7624746
WP_089021493.1,68.44608378
WP_116813002.1,70.16199599
WP_093954453.1,78.08858092
WP_083302694.1,87.82856415
KNX38636.1,88.98903746
WP_050671122.1,88.98903746
WP_112669767.1,99.75715286
WP_103503499.1,104.2570011
WP_091283529.1,104.6380164
WP_078844206.1,109.9187687
WP_075975245.1,110.8607643
WP_086784246.1,130.9345294
WP_109639600.1,179.4309202
WP_086849962.1,186.7922504
WP_093411427.1,188.0467299
WP_081971423.1,191.1542297
WP_130401777.1,192.1346823
WP_065917710.1,198.5360506
WP_075737041.1,200.0735081
WP_047194864.1,208.8676
WP_045318561.1,213.8031619
WP_131056699.1,231.3517226
OKK16161.1,243.9499808
ADV92525.1,248.1678107
WP_083950838.1,256.7999419
CUM11140.1,262.5161394
AEV21261.1,262.5161394
WP_078759821.1,269.2442998
WP_139584963.1,271.481469
WP_143590710.1,287.9131833
WP_013736455.1,291.3407597
WP_155388305.1,314.7712958
WP_141984372.1,333.8043995
WP_125191182.1,337.1840263
WP_085749752.1,342.3879923
GDY50131.1,355.5066093
WP_137976057.1,355.5066093
WP_082403176.1,358.5524014
WP_144126986.1,360.1164465
WP_132413760.1,361.7693465
WP_099848711.1,385.4296816
PIG53436.1,385.4296816
WP_132337032.1,399.453462
WP_132386942.1,432.3247404
WP_082377728.1,432.6136109
KOX03277.1,432.6136109
CCH19814.1,457.6579506
WP_039906502.1,457.6579506
WP_088988822.1,463.1944423
WP_073887759.1,466.6046659
WP_130464304.1,483.3729536
SHM40309.1,524.3915983
WP_054022242.1,525.25274
OGB27210.1,610.9268507
WP_116180173.1,703.541892
WP_084434874.1,739.221097
WP_110567505.1,742.7461062
WP_101366623.1,745.778646
WP_117215036.1,762.3867783
WP_124822775.1,778.7263805
WP_091553551.1,779.3321104
SDZ16714.1,1506.159546
WP_091558835.1,1506.159546
