accession_1,accession_2,y_true
SNR28278.1,WP_023590072.1,0
SNR28278.1,WP_026455675.1,0
SNR28278.1,WP_145865593.1,0
SNR28278.1,SBO93698.1,0
SNR28278.1,WP_096345769.1,0
SNR28278.1,WP_132399348.1,0
SNR28278.1,WP_088642378.1,0
SNR28278.1,ROO62349.1,0
SNR28278.1,WP_043791386.1,0
SNR28278.1,OPG07929.1,0
SNR28278.1,WP_143737622.1,0
SNR28278.1,WP_119435032.1,0
SNR28278.1,WP_043674879.1,0
SNR28278.1,MBT71308.1,0
SNR28278.1,PCI81402.1,0
SNR28278.1,MBQ14354.1,0
SNR28278.1,WP_086515000.1,0
SNR28278.1,MBA55398.1,0
SNR28278.1,WP_141208867.1,0
SNR28278.1,WP_075846387.1,0
SNR28278.1,RLT92980.1,0
SNR28278.1,WP_132675922.1,0
SNR28278.1,WP_104293293.1,0
SNR28278.1,WP_091449211.1,0
SNR28278.1,WP_110080441.1,0
SNR28278.1,WP_045526465.1,0
SNR28278.1,WP_107415252.1,0
SNR28278.1,SFL45954.1,0
SNR28278.1,WP_037799604.1,0
SNR28278.1,WP_150226575.1,0
SNR28278.1,WP_090758760.1,0
SNR28278.1,SDJ28682.1,0
SNR28278.1,WP_094114762.1,0
SNR28278.1,AWF98035.1,0
SNR28278.1,RCL73670.1,0
SNR28278.1,AJP05992.1,0
SNR28278.1,WP_019629726.1,0
SNR28278.1,WP_084693247.1,0
SNR28278.1,WP_104343804.1,0
SNR28278.1,WP_030532193.1,0
SNR28278.1,WP_035286617.1,0
SNR28278.1,MTK05241.1,0
SNR28278.1,WP_051167764.1,0
SNR28278.1,AGL16332.1,0
SNR28278.1,REH26413.1,0
SNR28278.1,WP_086562416.1,0
SNR28278.1,PKZ41773.1,0
SNR28278.1,WP_144043041.1,0
SNR28278.1,TDQ51552.1,0
SNR28278.1,WP_133742058.1,0
SNR28278.1,KHD76999.1,0
SNR28278.1,WP_052163682.1,0
SNR28278.1,KOX11336.1,0
SNR28278.1,WP_053619136.1,0
SNR28278.1,WP_156365999.1,0
SNR28278.1,WP_114594379.1,0
SNR28278.1,AXV09545.1,0
SNR28278.1,ALS57601.1,0
SNR28278.1,WP_081656754.1,0
SNR28278.1,WP_133877137.1,0
SNR28278.1,TDO41999.1,0
SNR28278.1,WP_070705826.1,0
SNR28278.1,PKZ41776.1,0
SNR28278.1,WP_132200424.1,0
SNR28278.1,WP_020639922.1,0
SNR28278.1,WP_108710096.1,0
SNR28278.1,ALD14029.1,0
SNR28278.1,WP_085753242.1,0
SNR28278.1,WP_132628273.1,0
SNR28278.1,KJK32958.1,0
SNR28278.1,WP_107115530.1,0
SNR28278.1,RZI82703.1,0
SNR28278.1,WP_052685689.1,0
SNR28278.1,OUE26840.1,0
SNR28278.1,WP_122982115.1,0
SNR28278.1,WP_143713288.1,0
SNR28278.1,KWV30420.1,0
SNR28278.1,WP_130477875.1,0
SNR28278.1,SCF11721.1,0
SNR28278.1,GAP50618.1,0
SNR28278.1,WP_091310325.1,0
SNR28278.1,WP_136529585.1,0
SNR28278.1,WP_053744292.1,0
SNR28278.1,KOV66859.1,0
SNR28278.1,SCF49212.1,0
SNR28278.1,WP_083303042.1,0
SNR28278.1,WP_083947829.1,0
SNR28278.1,WP_129849678.1,0
SNR28278.1,WP_103564314.1,0
SNR28278.1,WP_067035690.1,0
SNR28278.1,WP_091450391.1,0
SNR28278.1,WP_068752972.1,0
SNR28278.1,WP_145923095.1,0
SNR28278.1,BAK48590.1,0
SNR28278.1,WP_090538641.1,0
SNR28278.1,WP_092528534.1,0
SNR28278.1,WP_086668955.1,0
SNR28278.1,WP_110080872.1,0
SNR28278.1,PWW60275.1,0
SNR28278.1,WP_120326365.1,0
SNR28278.1,WP_107465080.1,0
SNR28278.1,SPF04022.1,0
SNR28278.1,WP_104115406.1,0
SNR28278.1,WP_104613137.1,0
SNR28278.1,WP_084578793.1,0
SNR28278.1,WP_111700265.1,0
SNR28278.1,WP_051808300.1,0
SNR28278.1,CBY05529.1,0
SNR28278.1,OPG10926.1,0
SNR28278.1,WP_143737449.1,0
SNR28278.1,WP_015787089.1,0
SNR28278.1,WP_124770494.1,0
SNR28278.1,WP_141569747.1,0
SNR28278.1,RZS34008.1,0
SNR28278.1,ADV92527.1,0
SNR28278.1,WP_132183354.1,0
SNR28278.1,WP_084400763.1,0
SNR28278.1,WP_123685830.1,0
SNR28278.1,TQL66274.1,0
SNR28278.1,WP_089021493.1,0
SNR28278.1,WP_116813002.1,0
SNR28278.1,WP_093954453.1,0
SNR28278.1,WP_083302694.1,0
SNR28278.1,KNX38636.1,0
SNR28278.1,WP_050671122.1,0
SNR28278.1,WP_112669767.1,0
SNR28278.1,WP_103503499.1,0
SNR28278.1,WP_091283529.1,0
SNR28278.1,WP_078844206.1,0
SNR28278.1,WP_075975245.1,0
SNR28278.1,WP_086784246.1,0
SNR28278.1,WP_109639600.1,0
SNR28278.1,WP_086849962.1,0
SNR28278.1,WP_093411427.1,0
SNR28278.1,WP_081971423.1,0
SNR28278.1,WP_130401777.1,0
SNR28278.1,WP_065917710.1,0
SNR28278.1,WP_075737041.1,0
SNR28278.1,WP_047194864.1,0
SNR28278.1,WP_045318561.1,0
SNR28278.1,WP_131056699.1,0
SNR28278.1,OKK16161.1,0
SNR28278.1,ADV92525.1,0
SNR28278.1,WP_083950838.1,0
SNR28278.1,CUM11140.1,0
SNR28278.1,AEV21261.1,0
SNR28278.1,WP_078759821.1,0
SNR28278.1,WP_139584963.1,0
SNR28278.1,WP_143590710.1,0
SNR28278.1,WP_013736455.1,0
SNR28278.1,WP_155388305.1,0
SNR28278.1,WP_141984372.1,0
SNR28278.1,WP_125191182.1,0
SNR28278.1,WP_085749752.1,0
SNR28278.1,GDY50131.1,0
SNR28278.1,WP_137976057.1,0
SNR28278.1,WP_082403176.1,0
SNR28278.1,WP_144126986.1,0
SNR28278.1,WP_132413760.1,0
SNR28278.1,WP_099848711.1,0
SNR28278.1,PIG53436.1,0
SNR28278.1,WP_132337032.1,0
SNR28278.1,WP_132386942.1,0
SNR28278.1,WP_082377728.1,0
SNR28278.1,KOX03277.1,0
SNR28278.1,CCH19814.1,0
SNR28278.1,WP_039906502.1,0
SNR28278.1,WP_088988822.1,0
SNR28278.1,WP_073887759.1,0
SNR28278.1,WP_130464304.1,0
SNR28278.1,SHM40309.1,0
SNR28278.1,WP_054022242.1,0
SNR28278.1,OGB27210.1,0
SNR28278.1,WP_116180173.1,0
SNR28278.1,WP_084434874.1,0
SNR28278.1,WP_110567505.1,0
SNR28278.1,WP_101366623.1,0
SNR28278.1,WP_117215036.1,0
SNR28278.1,WP_124822775.1,0
SNR28278.1,WP_091553551.1,0
SNR28278.1,SDZ16714.1,0
SNR28278.1,WP_091558835.1,0
WP_023590072.1,WP_026455675.1,0
WP_023590072.1,WP_145865593.1,0
WP_023590072.1,SBO93698.1,0
WP_023590072.1,WP_096345769.1,0
WP_023590072.1,WP_132399348.1,0
WP_023590072.1,WP_088642378.1,0
WP_023590072.1,ROO62349.1,0
WP_023590072.1,WP_043791386.1,0
WP_023590072.1,OPG07929.1,0
WP_023590072.1,WP_143737622.1,0
WP_023590072.1,WP_119435032.1,0
WP_023590072.1,WP_043674879.1,0
WP_023590072.1,MBT71308.1,0
WP_023590072.1,PCI81402.1,0
WP_023590072.1,MBQ14354.1,0
WP_023590072.1,WP_086515000.1,0
WP_023590072.1,MBA55398.1,0
WP_023590072.1,WP_141208867.1,0
WP_023590072.1,WP_075846387.1,0
WP_023590072.1,RLT92980.1,0
WP_023590072.1,WP_132675922.1,0
WP_023590072.1,WP_104293293.1,0
WP_023590072.1,WP_091449211.1,0
WP_023590072.1,WP_110080441.1,0
WP_023590072.1,WP_045526465.1,0
WP_023590072.1,WP_107415252.1,0
WP_023590072.1,SFL45954.1,0
WP_023590072.1,WP_037799604.1,0
WP_023590072.1,WP_150226575.1,0
WP_023590072.1,WP_090758760.1,0
WP_023590072.1,SDJ28682.1,0
WP_023590072.1,WP_094114762.1,0
WP_023590072.1,AWF98035.1,0
WP_023590072.1,RCL73670.1,0
WP_023590072.1,AJP05992.1,0
WP_023590072.1,WP_019629726.1,0
WP_023590072.1,WP_084693247.1,0
WP_023590072.1,WP_104343804.1,0
WP_023590072.1,WP_030532193.1,0
WP_023590072.1,WP_035286617.1,0
WP_023590072.1,MTK05241.1,0
WP_023590072.1,WP_051167764.1,0
WP_023590072.1,AGL16332.1,0
WP_023590072.1,REH26413.1,0
WP_023590072.1,WP_086562416.1,0
WP_023590072.1,PKZ41773.1,0
WP_023590072.1,WP_144043041.1,0
WP_023590072.1,TDQ51552.1,0
WP_023590072.1,WP_133742058.1,0
WP_023590072.1,KHD76999.1,0
WP_023590072.1,WP_052163682.1,0
WP_023590072.1,KOX11336.1,0
WP_023590072.1,WP_053619136.1,0
WP_023590072.1,WP_156365999.1,0
WP_023590072.1,WP_114594379.1,0
WP_023590072.1,AXV09545.1,0
WP_023590072.1,ALS57601.1,0
WP_023590072.1,WP_081656754.1,0
WP_023590072.1,WP_133877137.1,0
WP_023590072.1,TDO41999.1,0
WP_023590072.1,WP_070705826.1,0
WP_023590072.1,PKZ41776.1,0
WP_023590072.1,WP_132200424.1,0
WP_023590072.1,WP_020639922.1,0
WP_023590072.1,WP_108710096.1,0
WP_023590072.1,ALD14029.1,0
WP_023590072.1,WP_085753242.1,0
WP_023590072.1,WP_132628273.1,0
WP_023590072.1,KJK32958.1,0
WP_023590072.1,WP_107115530.1,0
WP_023590072.1,RZI82703.1,0
WP_023590072.1,WP_052685689.1,0
WP_023590072.1,OUE26840.1,0
WP_023590072.1,WP_122982115.1,0
WP_023590072.1,WP_143713288.1,0
WP_023590072.1,KWV30420.1,0
WP_023590072.1,WP_130477875.1,0
WP_023590072.1,SCF11721.1,0
WP_023590072.1,GAP50618.1,0
WP_023590072.1,WP_091310325.1,0
WP_023590072.1,WP_136529585.1,0
WP_023590072.1,WP_053744292.1,0
WP_023590072.1,KOV66859.1,0
WP_023590072.1,SCF49212.1,0
WP_023590072.1,WP_083303042.1,0
WP_023590072.1,WP_083947829.1,0
WP_023590072.1,WP_129849678.1,0
WP_023590072.1,WP_103564314.1,0
WP_023590072.1,WP_067035690.1,0
WP_023590072.1,WP_091450391.1,0
WP_023590072.1,WP_068752972.1,0
WP_023590072.1,WP_145923095.1,0
WP_023590072.1,BAK48590.1,0
